customer_lifetime_value,monthly_premium_auto,total_claim_amount,number_of_open_complaints,income,policy_type,vehicle_class,gender,education,state,zones
7977,1000,2,0,0,Personal Auto,Four-Door Car,---,Master,Washington,east
6979,94,1131,0,0,Personal Auto,Four-Door Car,female,Bachelor,Arizona,central
12887,108,566,0,48767,Personal Auto,Two-Door Car,female,Bachelor,Nevada,central
7645,106,529,0,0,Corporate Auto,SUV,male,Bachelor,California,west
5363,68,17,0,36357,Personal Auto,Four-Door Car,male,High School or Below,Washington,east
8256,69,159,0,62902,Personal Auto,Two-Door Car,female,Bachelor,Oregon,northwest
5380,67,321,0,55350,Corporate Auto,Four-Door Car,female,College,Oregon,northwest
7216,101,363,0,0,Corporate Auto,Four-Door Car,male,Master,Arizona,central
24127,71,511,0,14072,Corporate Auto,Four-Door Car,male,Bachelor,Oregon,northwest
7388,93,425,0,28812,Special Auto,Four-Door Car,female,College,Oregon,northwest
4738,67,482,0,0,Personal Auto,Four-Door Car,male,College,California,west
8197,110,528,0,0,Personal Auto,SUV,---,College,California,west
8798,110,472,2,77026,Corporate Auto,Four-Door Car,---,Master,California,west
8819,110,528,1,99845,Corporate Auto,SUV,---,High School or Below,Arizona,central
5384,70,307,2,83689,Corporate Auto,Four-Door Car,---,College,California,west
7463,64,42,1,24599,Corporate Auto,Four-Door Car,---,Bachelor,Oregon,northwest
2566,67,454,0,25049,Personal Auto,Two-Door Car,---,High School or Below,Nevada,central
3945,101,647,0,28855,Personal Auto,SUV,---,College,Cali,west
5710,72,308,0,51148,Personal Auto,Four-Door Car,---,College,Oregon,northwest
8162,101,484,0,66140,Corporate Auto,Four-Door Car,---,High School or Below,California,west
2872,74,355,0,57749,Personal Auto,Two-Door Car,---,High School or Below,Oregon,northwest
6177,79,20,1,61040,Personal Auto,Two-Door Car,male,Bachelors,Washington,east
24127,71,511,0,14072,Personal Auto,Four-Door Car,---,Bachelor,Arizona,central
2450,73,554,3,0,Corporate Auto,Four-Door Car,---,Bachelor,Nevada,central
2392,61,439,0,17870,Corporate Auto,Four-Door Car,---,Bachelor,California,west
5802,72,389,0,97541,Personal Auto,Four-Door Car,---,College,Oregon,northwest
3946,111,799,0,0,Personal Auto,Four-Door Car,---,Bachelor,California,west
9162,80,20,0,29723,Personal Auto,Four-Door Car,male,College,Washington,east
12902,111,532,2,86584,Personal Auto,Four-Door Car,---,College,AZ,central
3235,80,384,1,75690,Personal Auto,Four-Door Car,---,Master,Oregon,northwest
2454,63,322,1,23158,Personal Auto,Four-Door Car,---,College,Arizona,central
18975,237,615,0,65999,Corporate Auto,Luxury SUV,---,High School or Below,Nevada,central
4715,65,308,0,0,Personal Auto,Four-Door Car,---,Bachelor,California,west
4737,130,23,0,0,Personal Auto,SUV,female,College,Washington,east
4932,62,15,0,37260,Corporate Auto,Four-Door Car,---,Bachelor,Oregon,northwest
5744,71,204,0,68987,Personal Auto,Four-Door Car,---,High School or Below,Arizona,central
13891,117,561,0,42305,Personal Auto,Four-Door Car,---,Bachelor,California,west
7380,91,436,0,65706,Personal Auto,Four-Door Car,---,Master,Oregon,northwest
3090,90,648,0,0,Personal Auto,Two-Door Car,---,Bachelor,Oregon,northwest
2521,66,157,2,53243,Personal Auto,Four-Door Car,---,High School or Below,Arizona,central
2652,70,484,1,0,Corporate Auto,Two-Door Car,---,High School or Below,Nevada,central
2771,71,18,0,50071,Corporate Auto,Two-Door Car,---,College,Oregon,northwest
3939,99,882,0,60021,Personal Auto,Four-Door Car,---,Bachelor,California,west
12231,103,494,0,43244,Personal Auto,Sports Car,---,High School or Below,Arizona,central
4951,35354,31,1,46896,Personal Auto,Four-Door Car,male,Doctor,Washington,east
12819,172,0,3,10105,Personal Auto,SUV,---,Doctor,Oregon,northwest
4468,73,579,3,0,Personal Auto,Four-Door Car,---,Bachelor,Arizona,central
5514,71,447,0,23218,Personal Auto,Two-Door Car,---,High School or Below,Oregon,northwest
3343,92,529,0,0,Corporate Auto,Four-Door Car,---,Bachelor,California,west
2294,62,313,0,0,Personal Auto,Four-Door Car,---,High School or Below,Arizona,central
36707,104,593,0,24804,Personal Auto,SUV,---,College,Oregon,northwest
33473,106,508,0,33190,Corporate Auto,SUV,---,Bachelor,California,west
7983,69,173,3,36014,Special Auto,Four-Door Car,---,High School or Below,Nevada,central
4879,61,33,2,67163,Personal Auto,Two-Door Car,female,Master,Washington,east
4293,113,831,0,16701,Personal Auto,Four-Door Car,---,Bachelor,California,west
7164,91,436,0,46623,Corporate Auto,Four-Door Car,---,College,Arizona,central
7619,64,302,0,64749,Special Auto,Four-Door Car,---,College,California,west
3958,101,484,0,0,Personal Auto,SUV,---,High School or Below,Arizona,central
4499,124,704,2,16969,Personal Auto,SUV,---,High School or Below,Oregon,northwest
4059,108,518,0,11621,Personal Auto,Four-Door Car,---,Master,Oregon,northwest
4458,65,312,1,17622,Personal Auto,Four-Door Car,---,Bachelor,Arizona,central
8110,105,504,0,11489,Personal Auto,Two-Door Car,---,Bachelor,California,west
3339,94,863,0,0,Personal Auto,Two-Door Car,---,Bachelor,Oregon,northwest
24261,100,104,0,66525,Personal Auto,SUV,---,High School or Below,California,west
6613,63,676,0,0,Personal Auto,Four-Door Car,---,Bachelor,Arizona,central
2930,73,350,0,33663,Personal Auto,Four-Door Car,---,College,WA,east
8672,112,537,0,22547,Corporate Auto,SUV,---,College,Oregon,northwest
11638,97,465,0,61486,Personal Auto,Two-Door Car,---,High School or Below,AZ,central
6846,95,456,0,0,Personal Auto,Two-Door Car,---,Bachelor,Oregon,northwest
11727,102,500,0,29879,Personal Auto,Four-Door Car,---,College,California,west
22643,113,281,0,93011,Personal Auto,SUV,---,High School or Below,Oregon,northwest
2614,65,5,0,65186,Personal Auto,Two-Door Car,---,Master,Oregon,northwest
2451,64,307,2,26840,Personal Auto,Four-Door Car,---,Master,Oregon,northwest
6781,104,982,1,0,Personal Auto,Sports Car,---,Bachelor,Oregon,northwest
4974,65,467,3,75644,Personal Auto,Two-Door Car,---,Bachelor,Oregon,northwest
8591,73,350,0,38984,Personal Auto,Four-Door Car,---,Bachelor,Oregon,northwest
5592,71,29,0,71811,Personal Auto,Four-Door Car,---,High School or Below,Oregon,northwest
8009,67,321,0,20961,Personal Auto,Four-Door Car,---,College,Nevada,central
7977,96,41,0,41275,Personal Auto,Four-Door Car,female,Master,Washington,east
58166,186,427,1,61321,Personal Auto,Luxury Car,---,Bachelor,California,west
8025,77,25,0,0,Personal Auto,Two-Door Car,---,College,California,west
5780,74,787,0,51066,Personal Auto,Four-Door Car,---,High School or Below,California,west
4118,102,489,0,34378,Personal Auto,SUV,---,Doctor,California,west
2523,63,302,0,43072,Personal Auto,Four-Door Car,---,Master,Nevada,central
6554,90,475,0,25222,Personal Auto,Four-Door Car,---,College,Oregon,northwest
5382,68,45,1,77552,Corporate Auto,Four-Door Car,female,Bachelor,Washington,east
5926,96,460,5,23091,Personal Auto,Four-Door Car,---,College,California,west
2683,69,282,3,48269,Corporate Auto,Four-Door Car,---,Bachelor,California,west
2695,67,321,0,32720,Personal Auto,Four-Door Car,---,Bachelor,Oregon,northwest
6047,76,364,1,20396,Personal Auto,Four-Door Car,---,College,California,west
13171,119,679,1,21513,Personal Auto,Two-Door Car,---,College,Oregon,northwest
15950,87,46,1,0,Personal Auto,Two-Door Car,female,College,Washington,east
2527,63,11,0,80744,Corporate Auto,Four-Door Car,---,Bachelor,Oregon,northwest
2672,67,350,0,52822,Corporate Auto,Two-Door Car,---,Bachelor,Oregon,northwest
5313,77,863,1,0,Personal Auto,Four-Door Car,---,High School or Below,California,west
20946,74,492,1,69738,Personal Auto,Four-Door Car,---,Bachelor,Oregon,northwest
8375,109,132,0,17780,Personal Auto,SUV,---,Master,AZ,central
4801,62,297,0,18107,Personal Auto,Four-Door Car,---,Bachelor,California,west
5745,74,269,3,57740,Personal Auto,Four-Door Car,---,Bachelor,AZ,central
6066,76,380,0,32627,Personal Auto,Two-Door Car,---,College,Oregon,northwest
8002,107,513,0,0,Personal Auto,SUV,---,College,California,west
2393,70,425,0,0,Personal Auto,Four-Door Car,---,College,California,west
4762,62,49,1,65795,Corporate Auto,Two-Door Car,---,Bachelor,Oregon,northwest
4330,107,513,0,60475,Personal Auto,Four-Door Car,---,College,California,west
9402,130,936,0,0,Personal Auto,SUV,---,High School or Below,California,west
